1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
1599	DET PROPN XFAMIL AUX DETMS NMS PREP NMS PREP NFP PREFP ADV AUX VPPMS DET NMP VERB VERB ADV PREP NFP PREP VERB DET NFS	les jo c' est le cadre d' affrontement entre nations vous l' avez dit les anglais veulent avoir beaucoup de médailles pour prendre leur revanche	légion <eps> c' est le cadre d' affrontements entre nations vous l' avez dit les anglais veulent avoir beaucoup de médailles pour prendre leur revanche	_
1600	PREP PROPN PREFP ADV PINDMS VERB DET DET NFP DINTFS NFS ADJFS AUX ADJFS AUX DET NMS VPPMS PREP DET NFP ADJFP <eps> <eps> <eps> <eps> <eps> ADV PREP NMS PRON AUX DET DET <eps> NFP PREP NFP PPER3MS PPOBJMS VERB DINTFS NFS ADJFS PREL PREF VERB	en france nous aussi on veut des des médailles une quarantaine c' est c' est l' objectif visé par les autorités sportives <eps> <eps> <eps> <eps> <eps> donc en fait ce sont des des <eps> bagarres entre nations il y a une fierté nationale qui se joue	<eps> france nous aussi on veut des des médailles une quarantaine c' est c' est l' objectif visé par les autorités sportives parce que l' objectif national donc en fait ce sont des des des bagarres entre nations il y avait bien sghir national qui se joue	_
1601	COCO COCO PREP ADV DET NMP VERB PREP DINTMS NMS PREL AUX DETMS NMS ADJMS COSUB PPER3MS PPOBJMS VERB DINTFS NFS PREP NMS PINDMS VERB	et et d' ailleurs les athlètes défilent derrière un drapeau qui est le drapeau national lorsqu' il y a une médaille d' or on joue	<eps> <eps> d' ailleurs les athlètes défilent derrière un drapeau auquel <eps> le drapeau national lorsqu' il y a une médaille d' or on joue	_
1602	DET NMS ADJMS COCO ADV PDEMMS AUX ADV DETFS NFS PREP DET NFS COCO PREP DET NMP ADJMP ADJMS DETMS NMS VERB VERB PPOBJMS VERB PPER3MS PPOBJMS VERB ADV PREP NFS COSUB PINDMS VERB VERB VERB DINTFS NFS PREP NFS PREP DET PINDFS PREP DET NFP	l' hymne national et donc c' est bien la fierté de chaque nation et pour les jeux olympiques tout le monde peut s' y retrouver il y a tellement de compétition que chacun peut espérer obtenir une part de lumière dans l' une de ces compétitions	<eps> hymne national et donc c' est bien la fierté de chaque nation et pour les jeux olympiques tout le monde peut s' y retrouver il y a tellement de compétition que chacun peut espérer obtenir une part de lumière dans l' une de ces compétitions	_
1603	ADV PPER3MS PPOBJMS VERB ADV PREP NMS ADJMS AUX VPPMS DETMS ADJMS DETMS NMS PREP DETFS NFS ADJFS	là il y a plus de boycott c' est terminé le le le temps de la guerre froide	<eps> il y a plus de boycott c' est terminé le le <eps> temps de la guerre froide	_
1604	PPER3MS ADV PPOBJMS PPOBJMS VERB ADV ADV ADV ADV <eps> ADV COSUB ADJMS DETMS NMS <eps> VERB ADV	il n' y en aura plus jamais plus jamais <eps> parce que tout le monde <eps> veut pas	<eps> <eps> y en aura plus jamais plus jamais jamais parce que tout le monde ne veut pas	_
1605	PINDMS VERB VERB DET NMP VERB AUX ADV PPER3MP PREF VERB ADV ADV PINDMS PREF AUX VPPMS DETFS NFS PREP DETFS PROPN	on pourra exclure des pays peut être s' ils se comportent extrêmement mal on s' est posé la question pour la syrie	<eps> pourra exclure des pays peut être s' il se comporte extrêmement mal on s' est posé la question pour la syrie	_
1606	DETMS NMS AUX VPPMS PREP VERB DET NFS DET NMP COCO PPER3MS ADV PPOBJMS VERB ADV ADV PREP NMS ADV COSUB ADJMS DETMS NMS VERB PPOBJMS VERB DINTMS NMS ADJMS PREL VERB	le cio a décidé de maintenir l' invitation aux syriens mais il n' y aura plus jamais de boycott parce que tout le monde veut y participer un pays aujourd'hui qui boycotterait	le cio a décidé de maintenir l' invitation aux syriens mais il n' y aura plus jamais de boycott parce que tout le monde veut y participer aujourd' hui <eps> qui boycotteraient	_
1607	PREF VERB PPOBJMS ADV PPER3MS ADV VERB ADV DET NMS ADJMS PPER3MS PREF VERB PPOBJMS ADV COCO PREP ADV PPER3MS VERB PREP AUX VPPMS DET NMP PREP VERB ADV PRON ADV VERB VERB PDEMMS NMS	se punirait lui même il ne punirait pas l' état hôte il se punirait lui même et par ailleurs il risquerait d' être exclu des jeux à suivre donc personne ne veut prendre ce risque	<eps> punirait lui-même une <eps> <eps> punirait pas l' etat haut il se punirait lui-même est <eps> par ailleurs ils risqueraient d' être exclus des jeux à suivre donc personne ne veut prendre ce risque	_
1608	COCO PREP DETFS NFS COCO PREP DET NMS DET DET NFP ADJFP AUX ADV ADV PINDMS VERB ADV PREP DET NFP VPPFP ADJFP DET DET NMP ADJMP COCO PDEMMS VERB NFS	mais l() la politique ou en tout cas les les controverses identitaires sont toujours là on parle notamment de ces sportives voilées venues des des pays arabes et ça pose question	<eps> <eps> la politique ou en tout cas les les controverses identitaires sont toujours là on parle notamment de ces sportives voilée venus des des pays arabes et ça pose question	_
1609	PDEMMS VERB NFS COCO PDEMMS AUX PREP ADJMS NMS DINTMS NMS PREP DET NMP PDEMMS AUX VERB AUX DINTFS NFS <eps> <eps> PREP VERB PRON COCO PREP PPOBJMP PREP DETFS ADJFS NFS DET NMP COCO PDEMMS AUX DINTMS NMS PREP NMS COSUB DETMS NMS AUX VPPMS PREP DET NMP	ça pose question ou c' est en même temps un progrès pour ces pays ça serait peut être une régression <eps> <eps> pour d' autres mais pour eux pour la première fois les saoudiens et c' est un bras de fer que le cio a gagné contre les saoudiens	vos questions <eps> <eps> c' est en même temps un progrès pour ces pays ça serait <eps> <eps> une régression peut est pour d' autres mais pour <eps> pour la première fois les saoudiens et c' est un bras de fer que le cio a gagné contre les saoudiens	_
1610	PPER3MP VERB AUX VPPMP PREP VERB DET NFP PREP NMP ADJMP COCO DETMS PROPN ADV	ils vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	<eps> vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	_
1611	COCO PDEMMS VERB DINTFS NFS PREP NMS PREP DET NMP DINTMS NMS DETMS PROPN AUX VPPMS COSUB DETMS NMS NMS AUX DINTFS NFS VERB COSUB ADV ADV ADV COSUB PPER3FS AUX VPPFS COCO PREP <eps> NMS VERB COSUB ADV DINTMS NMS COSUB PDEMMS VERB VERB DET ADJMP NMP PREP DET NMP	et ça fera une onde de choc dans les pays du golf le qatar a décidé que le porte drapeau serait une femme imaginez quand même alors bien sûr elle sera voilée mais en <eps> c' est quand même un choc que ça va provoquer de nombreux débats dans ces pays	<eps> ça fera une onde de choc dans les pays du golfe le qatar a décidé que le porte drapeau serait une femme imaginer quand même alors bien sûr elle sera voilée mais encore mais c' est quand même un choc que ça va provoquer de nombreux débats dans ces pays	_
1612	PDEMMS VERB ADV PREF VERB PREP PROPN PPER3MS PPOBJMS VERB ADV DET NMS ADJMS	ça va bien se passer à londres il y aura pas de clash politique	<eps> <eps> bien se passer à londres il y aura pas de clash politiques	_
1613	MOTINC PPER3MP ADV AUX ADV VPPMP PREP DET NFS VERB VERB COSUB DET NMP PREP NFS ADJFS VERB PREP PPOBJFS VERB PREP VERB DETFS NFS ADJFS AUX DINTMS NMS	(h) ils ne sont pas annoncés à l' avance peut être que les syriens l' opposition syrienne essayera d' en profiter pour populariser la lutte c' est un tel	<eps> ils ne sont pas annonça <eps> <eps> avance peut elle que les syriens l' opposition syrienne essaiera d' en profiter pour populariser la lutte c' est un tel	_
1614	NMS PREL PINDMS VERB PDEMMS AUX DINTMS ADJMS NMS COSUB PINDMS VERB VERB ADV ADV	miroir que chacun veut c' est un tel reflet que chacun veut venir bien sûr	miroir que chacun veut c' est un tel reflet que chacun veut venir bien sûr	_
1615	VERB DET NFS COCO ADV PPER3MS PPOBJMS VERB ADV DETMS NMS ADJMS DET NMP PROPN CHIF CHIF PROPN <eps> CHIF CHIF CHIF DETMS NMS PREP DET NFS DET NMP COCO PREP DETMS ADJMS NMS DETFS NFS COCO DET NFS ADJFS ADJMP AUX	plaider sa cause et puis il y a toujours le souvenir traumatique des attentats munich soixante douze londres <eps> deux mille cinq le lendemain de l' obtention des jeux et jusqu' au dernier jour la police et l' armée londonienne britanniques seront	plaidé sa cause et puis il y a toujours le souvenir traumatique des attentats munich soixante douze longs de deux milles cinq le lendemain de l' obtention des jeux et jusqu' au dernier jour la police et l' armée londonienne britanniques seront	_
1616	PREP DET NMS PREP DINTMS ADJMS NMS	dans l' effroi d' un éventuel attentat	dans l' effroi d' un éventuel attentat	_
1617	PROPN XFAMIL XFAMIL VERB DINTFS ADJFS NFS PREP DETFS NFS PREP NFS ADV PREP PROPN CHIF CHIF NFP NFS ADJFS DETFS NFS PREP PUNCT	pascal boniface jo politique une bonne introduction avant la cérémonie d' ouverture demain à londres vingt deux heures heure française la météo pour demain	pascal boniface géopolitique <eps> une bonne introduction avant la cérémonie d' ouverture demain à londres vingt deux heures heure française la météo pour demain	_
1618	PREP DET NFS ADV PDEMMS NMS PDEMMS AUX ADJMS PDEMMS NMS ADJMS VPPMS PREP DET NFP PREP NFS PREP DINTMS NMS ADJMS PREP PROPN	dans l' actualité également ce soir ce braguage spectaculaire ce braquage spectaculaire filmé par des caméras de surveillance dans un centre commercial à lon(dres)	<eps> l' actualité également ce soir ce braquage spectaculaire ce braquage spectaculaire filmée par des caméras de surveillance dans un centre commercial à londres	_
1619	INTJ PREFP VERB VERB COSUB DET NMP AUX VPPMS NFS PREP NMS ADV PREP DET NMS PREP PDEMMS NMS ADJMS PREP NMS DET NMP	oui vous allez voir que les malfaiteurs ont fait irruption à moto directement à l' intérieur de ce centre commercial au milieu des passants	mais vous allez voir que les malfaiteurs ont fait irruption à moto directement à l' intérieur de ce centre commercial au milieu des passants	_
1620	PPER3MP PREF AUX VPPMP PREP NMP PREP NFS PREP DINTFS NFS PREP AUX VPPMS DETFS NFS DET NMP AUX ADV VPPMP PREP AUX VPPMP COCO ADV ADV PREP VERB DET NMS	ils se sont emparés d' objets de valeur dans une bijouterie après avoir brisé la vitrine les malfaiteurs sont ensuite repartis sans être inquiétés et bien sûr en chevauchant leur moto	ils se sont emparés d' objets de valeur dans une bijouterie après avoir brisé la vitrine des malfaiteurs sont ensuite repartis sans être inquiétés et bien sûr en chevauchant leurs moutons	_
1621	PRON ADV VERB ADV PREP PROPN DETFS NFS ADJFS ADJFS VERB DETFS NFS PREP CHIF CHIF CHIF CHIF NMP COCO DINTFS NFS ADJFS DET NMP PROPN VERB PREP NMS DINTMS NMS CHIF NMP PREP NMP PREP NMS COCO NFS PREP DET NFS	rien ne va plus chez ibéria la compagnie aérienne espagnole annonce la suppression de quatre mille cinq cents emplois et une baisse générale des salaires ibéria perd en effet un virgule sept million d' euros par jour et lutte pour sa survie	rien ne va plus chez iberia la compagnie aérienne espagnole annonce la suppression de quatre milles cinq cents emplois et une baisse générale des salaires iberia perd en effet un virgule sept millions d' euros par jour luttent <eps> pour sa survie	_
1622	PDEMMS AUX PRON PREL VERB DET NMS ADJMS NFS PREP DET PROPN PREP NOUN PREP DETFS NFS ADJFS CHIF NMP PREP PREP PPOBJMP VERB NMS PREP NFS PREP DET NFS DET NFP ADJFP PREL VERB	c' est ce qu' affirme son directeur général inquiétude de l' onu à propos de la population syrienne quatre millions d' entre eux ont besoin d' aide selon l' organisation des nations unies qui indique	c' est ce qu' affirme son directeur général inquiétude de l' onu à propos de la population syrienne quatre millions d' entre eux ont besoin d' aide selon l' organisation des nations unies qui indique	_
1623	COSUB CHIF CHIF NMP PREF AUX VPPMP PREP DET NMP ADJMP DET ADJFP CHIF CHIF NFP PREL CHIF CHIF PREP DETFS ADJFS PROPN DETMS NMS DINTMS ADJMS PROPN XFAMIL AUX VPPMS ADV ADV DET NMP PREP PROPN PREP PROPN	que onze mille syriens se sont réfugiés dans les pays voisins ces dernières vingt quatre heures dont neuf mille pour la seule turquie le départ du septième vendée globe sera donné demain normalement des sables d' olonne en vendée	<eps> onze milles syriens se sont réfugiés dans les pays voisins ces dernières vingt quatre heures dont neuf milles pour la seule turquie <eps> départ du septième vendée globe sera donné demain normalement des sables d' olonne en vendée	_
1624	ADV DET NMP PREF VERB ADV PREP DETFS NFS DET PREP DET NFS PREP DETMS NMS PREP NOUN PREP DETFS NFS PREP DET NFS PREL AUX AUX VPPFS PREP DETMS NMS PREP DET NFS COCO DINTMS NMS ADV DETMS <eps> DETMS NMS PREP NMS PREP PDEMFS NFS PREP DET NMS VERB AUX VPPMS	toutefois plusieurs skippers s' inquiètent déjà de la profondeur des de l' eau dans le chenal d' accès à la mer à l' heure qui a été fixée pour le départ par l' organisation et du coup justement le <eps> le coup d' envoi de cette course de l' extrême pourrait être retardé	toutefois plusieurs skippers s' inquiètent déjà de la profondeur <eps> de l' eau dans le chenal d' accès à la mer à l' heure qui a été fixée pour le départ par l' organisation et du coup justement le ou le coup d' envoi de cette course de l' extrême pourrait être retardée	_
1625	PINDMS PPOBJMS VERB ADV ADV PREP DET NFS PREP PROPN XFAMIL COSUB PPER1S VERB PREP PROPN XFAMIL DETMS PROPN DET NFP PDEMMS PREL AUX VPPMS PPER3MS AUX <eps> ADJMS PREP ADV CHIF NFP PDEMFS NFS ADJFS DINTMS PROPN XFAMIL <eps> PREL VERB ADV ADV COCO PDEMMS NMS NMS ADJMS NMS	on en saura plus tout à l' heure dans bfm story puisque je serai avec michel desjoyeaux le zidane des mers celui qui a remporté il est <eps> seul d' ailleurs deux fois cette course mythique du vendée globe <eps> qui démarre demain demain et ce week end quel temps	on en saura plus tout à l' heure dans bfm story puisque je serai avec michel desjoyaux le zidane des maires celui qui a remporté le est le seul d' ailleurs deux fois cette course mythique du vent des globes qui démarrent demain demain et ce week-end <eps> quel temps	_
1626	ADV VERB ADV DETMS NMS PREL <eps> <eps> VERB ADV ADJMS COCO ADJ PREP ADV DET NFP VPPFP COCO ADJFP PREP DETFS NFS PREP PROPN PREP DETFS PROPN ADJFS NFS PREP PROPN	alors demain déjà le temps qui <eps> <eps> restera assez gris et pluvieux avec même des pluies soutenues et orageuses de la vallée du rhône à la provence alpes côte d' azur	<eps> demain déjà le temps qu' il y restera assez gris et pluvieux avec même des pluies soutenues et orageuse de la vallée du rhône à la provence alpes côte d' azur	_
1627	DETFS NFS VERB ADV PREP NFS PREP ADV PREP DET PROPN DINTMS NMS DET NFP PREP CHIF NMP PREP PROPN PREP CHIF CHIF NMP ADV PREP ADV PREP PROPN COCO ADV NMS PRON AUX ADV DET NFS PREP DETMS NMS DET NFP DET PROPN PREP PROPN	la neige tombera assez en abondance d' ailleurs sur les alpes du nord les températures de dix degrés à cherbourg à vingt quatre degrés tout de même à ajaccio et puis dimanche ce sera plutôt l' amélioration avec le retour des éclaircies des charentes aux ardennes	la neige tombera assez en abondance <eps> ailleurs sur les alpes du nord et température de dix degrés à cherbourg à vingt quatre degrés tout de même à ajaccio et puis dimanche ce sera plutôt l' amélioration avec le retour des éclaircies des charentes aux ardennes	_
1628	ADV ADV ADV DINTMS NMS DINTMS NMS DET NFP PREP CHIF NMP PREP PROPN PREP CHIF CHIF ADV PREP PROPN	ainsi qu' autour du golfe du lion les températures de neuf degrés à rouen à vingt deux toujours à ajaccio	ainsi qu' autour du golfe du lion et températures de neuf degrés à rouen à vingt deux toujours à ajaccio	_
1629	INTJ PROPN XFAMIL XFAMIL PINDMS PREFP VERB PREP CHIF CHIF NFP CHIF PPER1S VERB DETMS NMS DINTMS NMS PROPN XFAMIL VPPMS ADV VERB DETMS NMS DINTMS NMS	merci rachid m' barki on vous retrouve à dix huit heures trente je reçois le frondeur du jour jean vincent placé bonsoir monsieur le président du groupe	merci rachid m' barki on vous retrouve à dix huit heures trente je reçois le frondeur du jour jean-vincent <eps> placé bonsoir monsieur le président du groupe	_
1630	DETMS NMS PREFP VERB PREP AUX VPPMS PDEMMS NMS DETMS NMS ADJMS PREP DETFS NFS PREP DET NMP	au sénat vous regrettez d' avoir rallumé ce matin le débat récurrent de la participation de vos collègues	au sénat vous regretter d' avoir rallumé ce matin le débat récurrent de la participation de vos collègues	_
